name,description,start_at,end_at,timezone,format,venue_name,address,city,country_code,url,registration_url,registration_deadline,themes,eligibility,price_cents,prizes,capacity,organizer_name,source_url,date_confidence
CASSINI Hackathon 2026 - Space for Peace and Resilience (Gdansk),"Polska edycja 12. europejskiego CASSINI Hackathon wykorzystujacego dane Copernicus, Galileo, EGNOS i IRIS2.",2026-11-27T09:00:00+01:00,2026-11-29T18:00:00+01:00,Europe/Warsaw,onsite,,,Gdańsk,PL,https://www.cassini.eu/hackathons/,,2026-11-20,climate|govtech|security,open,0,"Up to EUR 9,000 total + 6 months mentoring",,Blue Dot Solutions,https://www.cassini.eu/hackathons/,confirmed
Dual Use Hackathon - Carpathian Drone Summit 2026,"24-godzinny hackathon dual-use o AI, systemach autonomicznych i dronach w ZEN.COM Expo kolo Rzeszowa.",2026-09-29T09:00:00+02:00,2026-09-30T18:00:00+02:00,Europe/Warsaw,onsite,ZEN.COM Expo,,Jasionka,PL,https://dualusehackathon.pcinn.org/,https://dualusehackathon.pcinn.org/,,ai|hardware|iot,open,,"20,000 PLN prize pool",,Samorząd Województwa Podkarpackiego / RARR,https://whatdahack.pl/events/dual-use-hackathon-carpathian-drone-summit-2026,confirmed
NASA Space Apps Challenge 2026 - Rzeszow,Lokalna edycja globalnego hackathonu NASA Space Apps Challenge w Rzeszowie.,2026-11-14T09:00:00+01:00,2026-11-15T18:00:00+01:00,Europe/Warsaw,onsite,,,Rzeszów,PL,https://www.spaceappschallenge.org/2026/local-events/rzeszow/,https://www.spaceappschallenge.org/2026/local-events/rzeszow/,,open|data,open,0,,,NASA Space Apps Challenge (local organizers),https://www.spaceappschallenge.org/2026/local-events/rzeszow/,confirmed
HackJam Hackerspace GameJam 2027 (Global Game Jam Gdansk),"72-godzinny maraton gamedev bedacy gdanska edycja Global Game Jam, organizowany przez CODE:ME i Hackerspace Trojmiasto.",2027-01-29T09:00:00+01:00,2027-02-01T18:00:00+01:00,Europe/Warsaw,onsite,Gdański Park Naukowo-Technologiczny,,Gdańsk,PL,https://whatdahack.pl/events/hackjam-hackerspace-gamejam,,,games,open,,,,CODE:ME / Hackerspace Trójmiasto,https://whatdahack.pl/events/hackjam-hackerspace-gamejam,confirmed
KrakJam 2027 (Global Game Jam Krakow),Wirtualna/online krakowska edycja Global Game Jam pod patronatem Krakowskiego Parku Technologicznego.,2027-01-29T09:00:00+01:00,2027-01-31T18:00:00+01:00,Europe/Warsaw,online,,,Kraków,PL,https://globalgamejam.org/jam-sites/2026/krakjam-2026,,,games,open,,,,Krakowski Park Technologiczny (patron),https://globalgamejam.org/jam-sites/2026/krakjam-2026,estimated
LubJam 2027 (Global Game Jam Lublin),Stacjonarna lubelska edycja Global Game Jam na Lubelskiej Akademii WSEI.,2027-01-29T09:00:00+01:00,2027-01-31T18:00:00+01:00,Europe/Warsaw,onsite,Lubelska Akademia WSEI,"ul. Projektowa 4, 20-209 Lublin",Lublin,PL,https://globalgamejam.org/jam-sites/2026/lubjam-2026,,,games,open,,,,Lubelska Akademia WSEI,https://globalgamejam.org/jam-sites/2026/lubjam-2026,estimated
Krakow Game Jam by Zablocie Space 2027,Stacjonarna edycja Global Game Jam w Zablocie Space w Krakowie.,2027-01-29T09:00:00+01:00,2027-01-31T18:00:00+01:00,Europe/Warsaw,onsite,Zabłocie Space,"ul. Zabłocie 20, 30-701 Kraków",Kraków,PL,https://globalgamejam.org/jam-sites/2026/krakow-game-jam-zablocie-space,,,games,open,,,,Zabłocie Space,https://globalgamejam.org/jam-sites/2026/krakow-game-jam-zablocie-space,estimated
Polyjam 2027 (Global Game Jam Warszawa),"Warszawska, wirtualna edycja Global Game Jam organizowana przez Kolo Naukowe Tworcow Gier Polygon (15. edycja w 2026).",2027-01-29T09:00:00+01:00,2027-01-31T18:00:00+01:00,Europe/Warsaw,online,,,Warszawa,PL,https://globalgamejam.org/jam-sites/2026/polyjam-2026,,,games,open,,,,Koło Naukowe Twórców Gier Polygon,https://globalgamejam.org/jam-sites/2026/polyjam-2026,estimated
Poznan Game Jam 2027 (Global Game Jam),Stacjonarna poznanska edycja Global Game Jam na terenie Politechniki Poznanskiej.,2027-01-29T09:00:00+01:00,2027-01-31T18:00:00+01:00,Europe/Warsaw,onsite,Politechnika Poznańska,"Piotrowo 2, 61-138 Poznań",Poznań,PL,https://globalgamejam.org/jam-sites/2026/global-game-jam-poznan-2026,,,games,open,,,,Politechnika Poznańska,https://globalgamejam.org/jam-sites/2026/global-game-jam-poznan-2026,estimated
Hacknarok 2027,"Kolejna (prawdopodobnie 11.) edycja 24-godzinnego hackathonu EESTEC AGH; edycja 2026 byla 10-ta, w Parku Lubicz w Krakowie.",2027-04-17T09:00:00+02:00,2027-04-18T18:00:00+02:00,Europe/Warsaw,onsite,Park Lubicz,,Kraków,PL,https://crossweb.pl/en/events/hacknarok-2026/,,,open,students,,,,EESTEC AGH Kraków,https://crossweb.pl/en/events/hacknarok-2026/,estimated
Hack4Change 2027,7. edycja 48-godzinnego hackathonu klimatycznego Fundacji CODE:ME w Gdansku; kolejna po 4. edycji (2024) i 6. edycji (2026).,2027-06-25T09:00:00+02:00,2027-06-27T18:00:00+02:00,Europe/Warsaw,onsite,,,Gdańsk,PL,https://whatdahack.pl/events/hack4change-2027,,,climate|open,open,,,,Fundacja CODE:ME,https://whatdahack.pl/events/hack4change-2027,estimated
EnsembleAI Hackathon 2027,4. (szacowana) edycja hackathonu ML/AI na Politechnice Warszawskiej; edycja 2026 byla 3-cia (205 z 494 zgloszen).,2027-03-13T09:00:00+01:00,2027-03-14T18:00:00+01:00,Europe/Warsaw,onsite,Politechnika Warszawska,Nowowiejska 15/19,Warszawa,PL,https://www.elka.pw.edu.pl/Aktualnosci/Wydarzenia2/EnsembleAI-Hackathon-2026,,,ai|data,students,,,,Koło Naukowe GOLEM / ML in PL,https://www.elka.pw.edu.pl/Aktualnosci/Wydarzenia2/EnsembleAI-Hackathon-2026,estimated
Kieleckie Dni Informatyki - Nocne Programowanie Hackathon 2027,"Kolejna edycja 12-godzinnego hackathonu AI w ramach Kieleckich Dni Informatyki, organizowanych nieprzerwanie od 2018 roku.",2027-04-13T18:00:00+02:00,2027-04-14T06:00:00+02:00,Europe/Warsaw,onsite,,,Kielce,PL,https://tu.kielce.pl/kdi-2026/,,,ai,students,,,,Miasto Kielce / Kielecki Park Technologiczny / Politechnika Świętokrzyska / UJK,https://www.kielce.eu/pl/aktualnosci/inteligentny-monitoring-i-cyfrowe-wsparcie-emocjonalne-poznalismy-laureatow-hackathonu-kdi-2026.html,estimated
PICO Game Jam Szeged 2026,Free 24-hour PICO-8 game development hackathon for ages 14-30 at D2 Ifjusagi Kozpont.,2026-09-12T09:00:00+02:00,2026-09-13T18:00:00+02:00,Europe/Budapest,onsite,D2 Ifjúsági Központ,,Szeged,HU,https://picojam.hu/,https://picojam.hu/,,games,highschool,0,Handheld gaming consoles,,Gergely Barna / Dél-alföldi Teleházak Regionális Közhasznú Egyesülete,https://picojam.hu/,confirmed
