name,description,start_at,end_at,timezone,format,venue_name,address,city,country_code,url,registration_url,registration_deadline,themes,eligibility,price_cents,prizes,capacity,organizer_name,source_url,date_confidence
Climathon Bratislava,48-hour climate-action hackathon where student teams and tech enthusiasts work with Bratislava city officials and mentors on urban sustainability and mobility challenges.,2026-10-23T09:00:00+02:00,2026-10-25T18:00:00+02:00,Europe/Bratislava,onsite,The Spot (Sky Park),,Bratislava,SK,https://climathon.bratislava.sk/en/,,,climate|smart-city,students,,8000 EUR total prize pool,,City of Bratislava / Civitta / Innovation League,https://climathon.bratislava.sk/en/,estimated
Erste Digital Hackathon (Kosice),24-hour corporate hackathon where TUKE student teams build AI and fintech prototypes for Erste Digital / Slovenska sporitelna banking challenges.,2026-11-06T09:00:00+01:00,2026-11-07T18:00:00+01:00,Europe/Bratislava,onsite,Technical University of Kosice (TUKE),,Kosice,SK,https://www.erstedigital.com/sk/hackathon,,,fintech|ai,university,,,,Erste Digital,https://www.erstedigital.com/sk/hackathon2023,estimated
ETHBratislava Hackathon,"Central Europe's Ethereum conference and hackathon at STU's Faculty of Informatics, covering scalability, restaking and euro-backed stablecoin tracks.",2027-05-22T09:00:00+02:00,2027-05-23T18:00:00+02:00,Europe/Bratislava,onsite,FIIT STU,"Ilkovicova 2, 841 04 Bratislava",Bratislava,SK,https://ethbratislava.com/,https://luma.com/ethba,,web3,open,,4000 EUR prize pool (Vol.2),,ETHBratislava,https://ethbratislava.com/,estimated
AIM Healthcare Hackathon Vienna,"In-person hackathon where clinicians and engineers build working healthcare prototypes together across diagnostic-AI and clinical-adoption tracks, plus a remote community track.",2026-10-29T16:00:00+01:00,2026-10-30T19:00:00+01:00,Europe/Vienna,hybrid,IBM Headquarters Vienna,"Obere Donaustrasse 95, 1020 Wien",Wien,AT,https://healthcare-hackathon.eu/,https://luma.com/aim-hackathon,,health|ai,open,0,15000+ EUR in cash and credits,,AIM Austria,https://healthcare-hackathon.eu/,confirmed
Cultural Hackathon Austria (GLAMhack),"2.5-day open-cultural-data hackathon where developers, historians and museum staff prototype projects using digital heritage-fund data under the theme 'Leave No One Behind'.",2026-09-24T16:00:00+02:00,2026-09-26T16:00:00+02:00,Europe/Vienna,hybrid,"FH St. Poelten, Campus 1, Future Lab",,St. Poelten,AT,https://openglam.at/en/,https://pretix.eu/OpenGLAMat/GLAMhack26/,,open|data,open,0,Implementation support from partners and sponsors,,OpenGLAM.at,https://openglam.at/en/,confirmed
START Hack Vienna,"24-hour hackathon at Vienna's Home of Innovation where teams tackle four real challenges from partner companies across voice AI, automation, legal tech and robotics.",2027-06-05T18:00:00+02:00,2027-06-06T16:00:00+02:00,Europe/Vienna,onsite,Home of Innovation (HOIV),"Arsenalstrasse 11, 1030 Wien",Wien,AT,https://www.start-vienna.com/rtsh,https://luma.com/sp3ivels,,ai|iot|open,open,0,10000+ EUR prize pool,100,START Vienna,https://luma.com/sp3ivels,estimated
Digital Girls Hackathon,TU Wien / City of Vienna program where girls aged 11-13 learn Scratch programming and build creative visions for the future of Vienna in small teams.,2027-06-09T09:00:00+02:00,2027-06-10T16:00:00+02:00,Europe/Vienna,onsite,A1 Campus,,Wien,AT,https://www.tuwien.at/en/tu-wien/news/news/digital-girls-hackathon-2026,,,edtech|open,women,,,50,Urban Innovation Vienna / TU Wien Informatics,https://www.tuwien.at/en/tu-wien/news/news/digital-girls-hackathon-2026,estimated
Bundeslehrlingshackathon,"Austria-wide apprentice hackathon where nearly 60 finalist teams from all nine states build app prototypes, judged across Rookie, Professional and Expert categories.",2026-10-19T09:00:00+02:00,2026-10-22T18:00:00+02:00,Europe/Vienna,hybrid,WKOe (Austrian Economic Chambers),,Wien,AT,https://lehrlingshackathon.at/,,,edtech|open,highschool,,"Awards across Rookies, Professionals, Experts categories",60,WKOe (Austrian Economic Chambers),https://lehrlingshackathon.at/hackathon/bundeslehrlingshackathon-2025/,estimated
Hacktivity,"Central and Eastern Europe's premier IT security festival, combining talks, workshops and a hacking/CTF competition (HackCenter) for the cybersecurity community.",2026-10-21T09:00:00+02:00,2026-10-21T18:00:00+02:00,Europe/Budapest,hybrid,Lurdy Conference and Event Center,"Konyves Kalman krt. 12-14, 1097 Budapest",Budapest,HU,https://hacktivity.com/,https://tickets.hacktivity.com/en/,,security,open,,,,Hacktivity,https://infosec-conferences.com/event/20261021-hacktivity-conference-and-expo-2026/,confirmed
JunctionX Budapest,"Hungary's largest hybrid hackathon: a 48-hour event where developers, designers and entrepreneurs solve company-set challenges online and on-site in Budapest.",2026-11-13T09:00:00+01:00,2026-11-15T18:00:00+01:00,Europe/Budapest,hybrid,,,Budapest,HU,https://budapest.hackjunction.com/,,,open,open,,9000 EUR prize pool (2023 edition),,CraftHub,https://crafthub.events/junctionx-budapest/,estimated
Data-Eng Hackathon (Pannon Egyetem),Multi-round data-engineering hackathon where student teams tackle real technology and engineering challenges from home before presenting at an in-person finale in Veszprem.,2027-04-15T09:00:00+02:00,2027-04-15T18:00:00+02:00,Europe/Budapest,hybrid,"University of Pannonia, Faculty of Technical Informatics","Egyetem utca 10, 8200 Veszprem",Veszprem,HU,https://mik.uni-pannon.hu/2026hackathon,https://forms.office.com/e/V7HrbxYr8b,,data|open,students,0,"Academic credits plus sponsor prizes (Aumovio, SciEngineer)",,University of Pannonia,https://mik.uni-pannon.hu/2026hackathon,estimated
HackYeah,"Europe's biggest stationary hackathon: 24 hours of coding at Tauron Arena Krakow across Defence, Smart City, Sport & Healthcare and AI tracks, plus a dedicated SheHacks challenge.",2026-10-03T08:30:00+02:00,2026-10-04T17:45:00+02:00,Europe/Warsaw,onsite,Tauron Arena Krakow,"ul. Zakopianska 9, 30-418 Krakow",Krakow,PL,https://hackyeah.pl/,https://eventory.cc/event/hackyeah-2026-cracow/tickets,,open|ai|security,open,,95000 PLN total prize pool,,PROIDEA,https://hackyeah.pl/,confirmed
Web3 Warsaw Hackathon,"Hackathon track of Web3 Warsaw / Blockchain Week Warsaw, where developers build and compete on real-world Web3 challenges alongside a 5000+ attendee blockchain conference.",2026-09-09T09:00:00+02:00,2026-09-10T18:00:00+02:00,Europe/Warsaw,onsite,,,Warszawa,PL,https://ambcrypto.com/web3-warsaw-2026-returns-as-eastern-europes-largest-blockchain-conference-uniting-5000-builders-founders-and-investors-this-september/,,,web3,open,,,,Web3 Global,https://ambcrypto.com/web3-warsaw-2026-returns-as-eastern-europes-largest-blockchain-conference-uniting-5000-builders-founders-and-investors-this-september/,confirmed
GrowUp Hackathon,"Free month-long online program where 15 teams of young adults build solutions to mental health, loneliness, climate and adulting challenges, ending with a Krakow grand finale.",2026-11-01T09:00:00+01:00,2027-01-31T18:00:00+01:00,Europe/Warsaw,hybrid,,,Krakow,PL,https://growuphackathon.pl/,https://forms.gle/NTtcg68N7odoFQqS8,2026-10-20,health|climate|edtech,open,0,Microgrants for top 3 teams,70,Fundacja DeepKind / GrowUp Team,https://growuphackathon.pl/,confirmed
EUDIS Defence Hackathon (Krakow),"Local Polish node of the EU-wide EUDIS Defence Hackathon, where teams built counter-drone and cognitive-warfare solutions at the Krakow Technology Park.",2026-03-26T09:00:00+01:00,2026-03-28T18:00:00+01:00,Europe/Warsaw,onsite,Krakowski Park Technologiczny,,Krakow,PL,https://eudis-hackathon.eu/,,,security|hardware,open,,10000 EUR total prize pool,,FORT Krakow (KPT / AGH),https://kosmonauta.net/2026/02/eudis-defence-hackathon-2026-krakow-26-28-03/,past
Kosciuszkon,24-hour academic hackathon at Krakow University of Technology with cybersecurity challenge tracks (including CTF and FPGA) set with partner Honeywell.,2027-05-09T10:30:00+02:00,2027-05-10T16:30:00+02:00,Europe/Warsaw,onsite,Klub Kwadrat,,Krakow,PL,https://kosciuszkon.pk.edu.pl/,,,security|open,students,0,,,Fundacja Politechniki Krakowskiej,https://kosciuszkon.pk.edu.pl/,estimated
CASSINI Hackathon (Wroclaw),"11th edition of the EU's CASSINI space-tech hackathon, 'Space for Water': teams used Copernicus and Galileo satellite data to tackle water scarcity, flooding and pollution.",2026-04-24T09:00:00+02:00,2026-04-26T18:00:00+02:00,Europe/Warsaw,onsite,Wroclaw University of Science and Technology,,Wroclaw,PL,https://www.cassini.eu/hackathons/poland,,,climate|iot|open,open,0,Mentoring support and presentation at Made in Wroclaw conference,,ARAW (Agencja Rozwoju Aglomeracji Wroclawskiej),https://www.wroclaw.pl/przedsiebiorczy-wroclaw/wroclaw-gospodarzem-cassini-hackathon-kosmiczne-technologie-dla-wody-miasta-i-regionu,past
European Defense Tech Hackathon - Warsaw,Dual-use and defence-tech hackathon bringing 100+ hackers to Warsaw with support from the Polish Development Fund (PFR) for a weekend of building and a Sunday demo day.,2027-06-19T12:00:00+02:00,2027-06-21T15:30:00+02:00,Europe/Warsaw,onsite,,,Warszawa,PL,https://community.eurodefense.tech/,,,security|hardware,open,,,100,European Defense Tech Hub (EDTH) / PFR,https://luma.com/edth-2026-warsaw,estimated
BITEhack,"24-hour academic hackathon organized by BEST AGH Krakow where four-person student teams build a project from scratch across robotics, classical CS and AI tracks.",2027-01-09T00:00:00+01:00,2027-01-10T00:00:00+01:00,Europe/Warsaw,onsite,Klub Studio,"ul. Witolda Budryka 4, Krakow",Krakow,PL,https://bitehack.best.krakow.pl/,https://bitehack.best.krakow.pl/,,ai|iot|open,university,,"Vouchers, sponsor gift packages, certificates",,BEST AGH Krakow,https://testerzy.pl/news/wydarzenia/bitehack-hackathon-akademicki,estimated
